,animal_id,intake_datetime,found_address,found_city,found_state,intake_type,intake_condition,sex,birthday,age_years,age_months,age_days,mixed_breed,primary_breed,secondary_breed,primary_color,secondary_color,name
0,A826579,2020-12-01 16:31:00,None,Austin,TX,Owner Surrender,Normal,Male,2019-12-01 16:31:00,1,0,0,True,Labrador Retriever,Whippet,Brown,Black,Spike
1,A826357,2020-11-25 11:18:00,1100 Garland Avenue,Austin,TX,Stray,Normal,Male,2019-11-25 11:18:00,1,0,6,False,Labrador Retriever,None,White,None,Texas
2,A826586,2020-12-01 16:45:00,5509 South Hearsey Drive,Austin,TX,Stray,Normal,Female,2018-12-01 16:45:00,2,0,0,True,German Shepherd,Alaskan Husky,White,Brown,None
3,A767759,2018-03-06 13:00:00,1203 Springdale Road,Austin,TX,Stray,Normal,Male,2016-03-06 13:00:00,4,8,25,True,Labrador Retriever,Mix,Black,None,Rodeo
4,A826592,2020-12-01 17:28:00,None,Austin,TX,Owner Surrender,Normal,Male,2019-12-01 17:28:00,1,0,0,False,Chihuahua Shorthair,None,White,None,Whitey
5,A767759,2020-12-01 15:44:00,Springdale Dr And Delores Ave,Austin,TX,Stray,Normal,Male,2016-12-01 15:44:00,4,0,0,True,Labrador Retriever,Mix,Black,None,Rodeo
6,A826591,2020-12-01 17:24:00,15001 Wells Port,Travis,TX,Stray,Normal,Male,2018-12-01 17:24:00,2,0,0,True,Pit Bull,Mix,Tan,White,None
7,A826166,2020-12-01 16:49:00,None,Austin,TX,Owner Surrender,Normal,Female,2018-12-01 16:49:00,2,0,0,False,German Shepherd,None,Black,Brown,Ophelia
8,A784105,2020-12-01 16:51:00,7105 Gunnison Pass,Austin,TX,Stray,Medical,Male,2018-12-01 16:51:00,2,0,0,True,American Pit Bull Terrier,German Shorthair Pointer,Liver Tick,None,Frankie
9,A826575,2020-12-01 16:00:00,10610 Morado Cr,Austin,TX,Public Assist,Normal,Unknown,2018-12-01 16:00:00,2,0,0,False,Border Terrier,None,Black,None,None
10,A796681,2019-06-04 12:02:00,14815 Johnson Road Trl,Manor,TX,Stray,Normal,Male,2019-05-04 12:02:00,1,6,27,False,Rat Terrier,None,Black,None,Pablo
11,A784105,2020-11-23 13:20:00,5903 Coolbrook Drive,Austin,TX,Stray,Normal,Male,2018-11-23 13:20:00,2,0,8,True,American Pit Bull Terrier,German Shorthair Pointer,Liver Tick,None,Frankie
12,A678068,2020-12-01 16:00:00,10610 Morado Cr,Austin,TX,Public Assist,Normal,Male,2012-12-01 16:00:00,8,0,0,True,Cairn Terrier,Mix,Brown,None,None
13,A826453,2020-11-26 00:00:00,500 West William Cannon Drive,Austin,TX,Public Assist,Normal,Female,2003-11-26 00:00:00,17,0,6,True,Chihuahua Shorthair,Mix,Gray,White,Precious
14,A826372,2020-11-25 14:40:00,8601 Anderson Mill Road,Austin,TX,Stray,Normal,Female,2018-11-25 14:40:00,2,0,6,True,Labrador Retriever,Mix,Yellow,None,Reba
15,A826562,2020-12-01 14:11:00,Sauls Drive,Austin,TX,Abandoned,Normal,Male,2016-12-01 14:11:00,4,0,0,True,German Shepherd,Mix,Black,Tan,Diesel
16,A826323,2020-11-24 14:40:00,14501 Reynero Lane,Travis,TX,Stray,Normal,Female,2019-11-24 14:40:00,1,0,7,False,Border Collie,None,White,Black,Patsy
17,A825624,2020-11-07 18:58:00,2501 Magin Meadow Drive,Austin,TX,Stray,Normal,Male,2018-11-07 18:58:00,2,0,24,False,Labrador Retriever,None,Tan,White,Hambone
18,A825495,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Male,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,German Shepherd,Brown,White,None
19,A825494,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Male,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,German Shepherd,Brown,None,None
20,A825491,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Male,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,Mix,Black,None,None
21,A826387,2020-11-25 15:48:00,North Lamar And West Rundberg Lane,Austin,TX,Stray,Normal,Male,2020-06-25 15:48:00,0,5,6,True,Labrador Retriever,Mix,Black,None,Pokey
22,A826560,2020-11-30 13:30:00,Raven Field And Quiet Field Dr.,,TX,Stray,Normal,Female,Unknown,Unknown,Unknown,Unknown,False,Collie Smooth,None,Unknown,None,Rosie
23,A825493,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Male,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,German Shepherd,Brown,None,None
24,A826559,2020-11-30 13:30:00,Raven Field Dr. And Quiet Plain Dr.,,TX,Stray,Normal,Female,Unknown,Unknown,Unknown,Unknown,False,Collie Smooth,None,Unknown,None,Rosie
25,A825490,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Female,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,Mix,Black,None,None
26,A825492,2020-11-05 10:55:00,8102 Wolf Lane,Travis,TX,Stray,Normal,Female,2020-10-08 10:55:00,0,1,23,True,Labrador Retriever,Mix,Black,None,None
27,A813731,2020-02-17 11:06:00,8201 N Lamar Boulevard,Austin,TX,Stray,Normal,Male,2018-02-17 11:06:00,2,9,14,False,Chihuahua Shorthair,None,Tan,White,Max
28,A826333,2020-11-24 15:32:00,Loyola,Austin,TX,Stray,Nursing,Male,2020-10-24 15:32:00,0,1,7,True,Dachshund,Mix,Brown,White,None
29,A826398,2020-11-26 09:37:00,4434 Frontier Trail,Austin,TX,Public Assist,Sick,Male,2020-10-29 09:37:00,0,1,2,True,Jack Russell Terrier,Dachshund,White,Red,Pepper Jack
