,animal_id,intake_datetime,found_address,found_city,found_state,intake_type,intake_condition,sex,birthday,age_years,age_months,age_days,mixed_breed,primary_breed,secondary_breed,primary_color,secondary_color,name
0,A827019,2020-12-11 09:36:00,5002 Nuckols Crossing,Austin,TX,Stray,Normal,Male,2018-12-11 09:36:00,2,0,0,False,Dachshund Longhair,None,Tan,Black,Oreo
1,A826969,2020-12-10 08:30:00,6001 Eflen Drive,Austin,TX,Stray,Normal,Male,2016-12-10 08:30:00,4,0,1,False,German Shepherd,None,Black,None,Bodhi
2,A826968,2020-12-10 08:30:00,6001 Eflen Drive,Austin,TX,Stray,Normal,Male,2016-12-10 08:30:00,4,0,1,True,Labrador Retriever,Mix,Brown,White,Kai
3,A826994,2020-12-10 13:08:00,13021 Dessau Road,Travis,TX,Stray,Normal,Male,2019-12-10 13:08:00,1,0,1,False,Chihuahua Shorthair,None,Black,None,Oreo
4,A827003,2020-12-10 15:24:00,401 Little Texas Lane,Austin,TX,Abandoned,Normal,Male,2018-12-10 15:24:00,2,0,1,False,Australian Cattle Dog,None,Red Merle,White,Nico
5,A812974,2020-12-01 09:32:00,8506 Evelyn Road,Mustang Ridge,TX,Stray,Normal,Female,2018-12-01 09:32:00,2,0,10,True,Labrador Retriever,Mix,Tan,White,Sugar
6,A827016,2020-12-11 08:31:00,Wideleaf Drive And Belafonte Boulevard,Travis,TX,Stray,Normal,Unknown,2020-05-11 08:31:00,0,7,0,False,German Shepherd,None,Black,Brown,None
7,A812974,2020-02-01 13:33:00,8905 Burleson Manor Road,Travis,TX,Stray,Normal,Female,2018-02-01 13:33:00,2,10,10,True,Labrador Retriever,Mix,Tan,White,Sugar
8,A812974,2020-12-08 11:46:00,Outside Jurisdiction,None,None,Owner Surrender,Normal,Female,2018-12-08 11:46:00,2,0,3,True,Labrador Retriever,Mix,Tan,White,Sugar
9,A827012,2020-12-10 17:48:00,1011 Barton Spings,Austin,TX,Public Assist,Normal,Female,2016-12-10 17:48:00,4,0,0,True,Australian Shepherd,Siberian Husky,White,Brown,None
10,A827010,2020-12-10 16:51:00,None,Austin,TX,Owner Surrender,Nursing,Female,2020-11-19 16:51:00,0,0,22,True,Australian Cattle Dog,Mix,Black,Brown Brindle,None
11,A827009,2020-12-10 16:51:00,None,Austin,TX,Owner Surrender,Nursing,Female,2020-11-19 16:51:00,0,0,22,True,Australian Cattle Dog,Mix,Black,Brown,None
12,A827011,2020-12-10 16:51:00,None,Austin,TX,Owner Surrender,Nursing,Female,2020-11-19 16:51:00,0,0,22,True,Australian Cattle Dog,Mix,Black,White,None
13,A827008,2020-12-10 16:51:00,None,Austin,TX,Owner Surrender,Nursing,Female,2019-12-10 16:51:00,1,0,1,True,Australian Cattle Dog,Mix,White,Black,None
14,A826785,2020-12-06 11:56:00,6110 Calmar Cove,Austin,TX,Stray,Normal,Female,2018-12-06 11:56:00,2,0,5,False,Rottweiler,None,Black,Brown,Brunhilda
15,A827005,2020-12-10 16:02:00,None,Austin,TX,Owner Surrender,Normal,Male,2007-12-10 16:02:00,13,0,1,False,Jindo,None,White,None,Bogdol
16,A827001,2020-12-10 15:13:00,5315 Ed Bluestein,Austin,TX,Stray,Sick,Female,2019-12-10 15:13:00,1,0,1,False,German Shepherd,None,Black,Brown,None
17,A827006,2020-12-10 16:02:00,None,Austin,TX,Owner Surrender,Normal,Female,2005-12-10 16:02:00,15,0,1,True,Jindo,Siberian Husky,Red,Tan,Happy
18,A826820,2020-12-07 12:24:00,1606 Colony Creek Drive,Austin,TX,Stray,Normal,Male,2018-12-07 12:24:00,2,0,4,False,Chihuahua Shorthair,None,Red,White,None
19,A827002,2020-12-10 14:48:00,Cromwell Circle,Austin,TX,Stray,Normal,Female,2020-10-10 14:48:00,0,2,1,False,Labrador Retriever,None,Tricolor,None,None
20,A747214,2020-12-10 15:02:00,7511 Cameron Rd,Austin,TX,Owner Surrender,Normal,Male,2016-12-10 15:02:00,4,0,1,False,German Shepherd,None,Sable,Tan,Zeus
21,A826999,2020-12-10 14:48:00,Cromwell Circle,Austin,TX,Stray,Normal,Female,2020-10-10 14:48:00,0,2,1,False,Labrador Retriever,None,Tan,White,None
22,A827000,2020-12-10 14:48:00,Cromwell Circle,Austin,TX,Stray,Normal,Male,2020-10-10 14:48:00,0,2,1,False,Labrador Retriever,None,Tan,White,None
23,A809249,2020-12-10 14:13:00,7207 Thannas Way,Austin,TX,Stray,Normal,Male,2016-12-10 14:13:00,4,0,1,False,Pit Bull,None,Chocolate,None,Buddy
24,A826995,2020-12-10 13:09:00,Duval Road,Austin,TX,Stray,Normal,Male,2014-12-10 13:09:00,6,0,1,False,Pit Bull,None,Brown Brindle,None,None
25,A826761,2020-12-05 15:01:00,Fm 1826 And Slaughter Lane,Austin,TX,Stray,Normal,Female,2015-12-05 15:01:00,5,0,6,False,German Shepherd,None,White,Yellow,Leona
26,A826996,2020-12-10 13:09:00,Duval Road,Austin,TX,Stray,Normal,Female,2018-12-10 13:09:00,2,0,1,False,Labrador Retriever,None,Tan,White,None
27,A826967,2020-12-10 13:06:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-12-10 13:06:00,2,0,1,False,Pit Bull,None,White,Brown,Bango
